feature,coef,abs_coef
could,237.6974876403482,237.6974876403482
this,220.55492012908735,220.55492012908735
more,188.51478303074535,188.51478303074535
facs,186.2355941278928,186.2355941278928
can,170.28428881870073,170.28428881870073
software,166.72759666439947,166.72759666439947
school,164.7179846717133,164.7179846717133
the computer,163.72639647976905,163.72639647976905
system,158.9162774338098,158.9162774338098
being,158.84860268984238,158.84860268984238
student,158.02355268631172,158.02355268631172
students,154.91569041997195,154.91569041997195
not,152.73986272945,152.73986272945
privacy,152.42410793058878,152.42410793058878
would,148.1939071979904,148.1939071979904
with,146.29074814727517,146.29074814727517
are,144.87468363814227,144.87468363814227
these,144.37699228156507,144.37699228156507
if,142.87762998243196,142.87762998243196
app,141.42619436330747,141.42619436330747
by,139.87370068284568,139.87370068284568
is not,137.78474491817602,137.78474491817602
kid,131.7956584868715,131.7956584868715
their,130.73127813226674,130.73127813226674
computer,128.5198570322088,128.5198570322088
alto,127.15819012334129,127.15819012334129
the system,125.8741380738583,125.8741380738583
technology,121.47978476938178,121.47978476938178
may,114.28620049886744,114.28620049886744
classroom,113.19230669498229,113.19230669498229
help,111.66584613879378,111.66584613879378
this app,111.45675220304429,111.45675220304429
find,111.30580741362223,111.30580741362223
be,109.2488831714433,109.2488831714433
an,105.6706603986481,105.6706603986481
exact,104.35052838239935,104.35052838239935
it is,104.16677800796165,104.16677800796165
lesson,103.73590159951351,103.73590159951351
feel,103.56481342385594,103.56481342385594
learning,103.06605102125596,103.06605102125596
teacher,102.58531866907585,102.58531866907585
second,97.0772228485972,97.0772228485972
valuable,95.9122903452682,95.9122903452682
very,95.55819422812763,95.55819422812763
get,94.44607980038253,94.44607980038253
don,94.05520404309432,94.05520404309432
the kid,94.03347269683796,94.03347269683796
learn,92.56890397785018,92.56890397785018
many,91.92546540309397,91.92546540309397
on,91.63697266700605,91.63697266700605
