feature,mean_tfidf
this,0.053071394951655915
can,0.05002155333504827
you,0.04717130916664558
be,0.04646763788118141
they,0.041127568819897244
students,0.03983070402002367
could,0.03891864781130686
technology,0.037387283527398854
or,0.0369700298447357
are,0.03543345755557776
would,0.03535850742021567
if,0.034540701272023216
emotions,0.03254432224262219
help,0.03225019160311341
for,0.030839662752747958
computer,0.030670566703982605
not,0.029907822119122008
facial,0.029646275428526894
how,0.02948924761893476
we,0.028795771571996913
your,0.02862553056743343
student,0.028395927843229377
system,0.025748798636478033
on,0.025585264676026138
people,0.025266604430199145
their,0.02406447314870037
with,0.023777651058916494
when,0.02345457206472308
will,0.02309088214669867
because,0.02282621063631582
have,0.022660997991752217
what,0.022379247145782537
like,0.02223814322248001
but,0.021721509084716588
in the,0.021524291214627563
classroom,0.02064798142146431
face,0.020312612498744453
more,0.020253886469386077
coding,0.0196589058810324
think,0.019617609074728717
know,0.019457514186915395
action,0.019361833682825264
them,0.019196953873552886
tell,0.018970795849533775
software,0.01895754223517773
feeling,0.01876001526670414
as,0.018374711087668746
there,0.018336334708681006
new,0.018293920523623705
facial action,0.018218307897338682
