feature,coef,abs_coef
tired,-89.86330648589552,89.86330648589552
amazing,-79.54916164184375,79.54916164184375
see,-75.8138667314043,75.8138667314043
painting,-72.47198828385794,72.47198828385794
yourself,-71.48606050930105,71.48606050930105
yes,-69.83814900925844,69.83814900925844
technology will,-67.58909095393396,67.58909095393396
happen,-67.00463484835944,67.00463484835944
today,-66.85685227509362,66.85685227509362
picture,-64.6320504495497,64.6320504495497
something like,-64.07502402843237,64.07502402843237
feel like,-63.57846491019723,63.57846491019723
you could,-62.551743613878436,62.551743613878436
3d,-61.353877314872676,61.353877314872676
gonna,-60.18475731035755,60.18475731035755
is good,-60.11013157504938,60.11013157504938
belive,-60.01666844194181,60.01666844194181
or angry,-59.770990391518765,59.770990391518765
is one,-59.278676638944596,59.278676638944596
idea for,-59.17437631527517,59.17437631527517
people emotions,-57.789696139467196,57.789696139467196
paul,-57.74999505263931,57.74999505263931
other people,-57.69107671024912,57.69107671024912
dr paul,-57.61636930876958,57.61636930876958
identify human,-57.403837014762686,57.403837014762686
and that,-57.359785019463416,57.359785019463416
because when,-56.91602285253625,56.91602285253625
help people,-56.88520723831754,56.88520723831754
they dont,-56.823910061282774,56.823910061282774
think that,-56.816583282516135,56.816583282516135
of how,-56.47547656801096,56.47547656801096
angry or,-55.77525020357251,55.77525020357251
is called,-55.64986905213807,55.64986905213807
called,-55.60055143398619,55.60055143398619
would have,-55.06840503250622,55.06840503250622
or the,-54.93102380485441,54.93102380485441
see if,-54.66634663591491,54.66634663591491
becuase,-53.4964503642597,53.4964503642597
got,-52.92957997999954,52.92957997999954
won,-52.25104402759833,52.25104402759833
think this,-52.080202795683206,52.080202795683206
the reason,-51.65814105538992,51.65814105538992
it can,-51.43959879288921,51.43959879288921
facs facial,-51.19701802603137,51.19701802603137
valuble,-51.02141124401756,51.02141124401756
todays,-50.63098406914651,50.63098406914651
as in,-50.460632159662,50.460632159662
that using,-50.358647228887094,50.358647228887094
for them,-50.24745200598117,50.24745200598117
will then,-49.47045301630968,49.47045301630968
