model,category,P(priv_M),P(unpriv_F),DI (F/M),DP (F−M),EO (F−M)
y_pred_tfidf,1,0.048,0.034,0.704,-0.014,0.15
y_pred_tfidf,2,0.285,0.257,0.902,-0.028,0.035
y_pred_tfidf,3,0.412,0.408,0.989,-0.005,-0.024
y_pred_tfidf,4,0.202,0.233,1.155,0.031,-0.047
y_pred_tfidf,5,0.053,0.058,1.107,0.006,-0.132
y_pred_tfidf,6,0.0,0.01,,0.01,0.4
y_pred_bert,1,0.039,0.039,0.984,-0.001,0.367
y_pred_bert,2,0.346,0.248,0.715,-0.099,-0.03
y_pred_bert,3,0.351,0.369,1.051,0.018,0.102
y_pred_bert,4,0.171,0.189,1.107,0.018,0.04
y_pred_bert,5,0.092,0.155,1.687,0.063,0.004
y_pred_bert,6,0.0,0.0,,0.0,0.0
y_pred_chatgpt_zeroshot,1,0.0,0.0,,0.0,0.0
y_pred_chatgpt_zeroshot,2,0.469,0.301,0.641,-0.168,-0.219
y_pred_chatgpt_zeroshot,3,0.412,0.476,1.154,0.063,0.022
y_pred_chatgpt_zeroshot,4,0.118,0.218,1.845,0.1,0.224
y_pred_chatgpt_zeroshot,5,0.0,0.005,,0.005,0.0
y_pred_chatgpt_zeroshot,6,0.0,0.0,,0.0,0.0
y_pred_chatgpt_fewshot,1,0.0,0.0,,0.0,0.0
y_pred_chatgpt_fewshot,2,0.053,0.019,0.369,-0.033,-0.054
y_pred_chatgpt_fewshot,3,0.443,0.33,0.745,-0.113,-0.147
y_pred_chatgpt_fewshot,4,0.443,0.51,1.151,0.067,-0.075
y_pred_chatgpt_fewshot,5,0.061,0.141,2.293,0.079,0.436
y_pred_chatgpt_fewshot,6,0.0,0.0,,0.0,0.0
