essay_id_comp,gender,holistic_essay_score,y_pred_tfidf,y_pred_bert,y_pred_chatgpt_zeroshot,y_pred_chatgpt_fewshot
7F220FD6CACF,M,2,2,2,2,3
B3FE48815543,F,6,6,5,4,5
B6428F6EB5F3,F,3,4,3,3,4
5D4E78CE6D5F,F,4,3,3,3,4
EA48C80121AD,F,3,2,2,2,3
CD8AAEA704AE,M,2,2,2,2,3
8119D80E030F,M,3,3,3,3,4
73E31A7D5720,F,1,2,1,2,2
56CA92EE1B0A,M,3,3,3,2,3
6C09B4AA6A77,M,3,3,4,3,3
49CC4EA5F3AF,F,4,3,3,3,4
4A8383F42E69,F,2,2,2,2,3
3B59052B8DAF,M,2,3,3,2,4
3442D7D6F267,M,4,4,4,3,4
A7FE0387BF32,M,2,2,2,2,3
0F6BC58DCBE0,M,2,3,2,3,4
2FC787262DE4,F,2,1,2,2,3
068076E24085,F,3,3,3,3,3
B640319E66B2,M,1,1,2,2,3
F983201E8CB1,F,2,2,2,3,4
4E236FFFBC3A,F,3,3,3,3,4
E2A67895BF3F,F,2,3,2,3,3
E7062A9A85AD,M,2,2,2,2,3
396A37B6D921,F,1,2,1,2,3
E1396D3FA930,F,3,3,3,2,4
12F6CA9D6104,F,3,2,3,3,4
7E37567419F5,M,2,2,2,2,3
9F3B64C57D04,M,2,3,2,2,3
E10D5E79B0A0,F,4,5,4,4,4
2F5D866B2C48,F,4,3,4,3,3
9F9F729FA854,F,3,3,3,2,3
1613BD216385,F,2,2,2,2,3
1807B25C64DB,F,4,4,4,4,5
2A906C1535A0,M,3,4,4,4,4
6A0FADF28A04,F,2,3,3,3,4
42CD122E8324,F,3,3,3,3,4
3ADC8338A9B8,F,5,4,5,4,4
923FDA1457EE,M,4,4,3,3,4
ABB4C6E07E71,M,5,4,4,3,4
1A6AB3B03A92,M,2,1,2,2,3
56A21776B470,M,3,3,3,2,3
E151FC867457,M,2,2,2,2,2
69C14FD07D1E,F,2,2,2,3,4
6D56A7D16F96,F,2,2,3,2,4
416154D38103,F,6,6,5,4,5
0C24337CD49E,F,1,1,1,2,3
95D641A74BF1,M,3,3,3,3,4
A2062CD12236,M,2,3,2,2,3
2676A4459B59,M,4,3,4,3,4
5341BDD4026A,F,3,2,3,3,4
FBABC3FB451D,M,3,4,4,3,4
4A78B7E0CD23,M,5,4,5,4,5
B93581E854BD,M,2,2,2,2,3
6D7E6399624E,F,2,3,4,2,3
730D11B13BA1,M,3,3,3,3,4
B3C2E6274311,M,2,2,2,2,3
9DB0CD72C72A,F,5,5,5,4,5
547FAEEA4126,F,3,3,3,3,4
83D3DB30ED2D,F,3,3,3,4,5
2C0247A6398B,F,3,2,2,3,3
315B09492FB4,M,2,2,2,2,3
49FAAE286911,M,2,2,2,2,3
9638A0515968,M,3,3,3,3,4
7D0DC6F08EB2,F,3,3,4,4,4
6CCD1AE680E2,M,2,2,2,3,3
F048B3381F8C,M,2,3,3,3,4
EFE5284CED33,M,2,2,2,2,4
43E8315FA921,M,2,2,2,2,3
DC5BBE514ECE,M,3,3,2,3,3
4C711F8D8B7E,M,3,3,2,2,3
FD4BFFA3443A,M,4,3,3,3,4
323F31110886,M,3,3,3,4,4
8F2DE1AB0229,F,2,2,2,2,3
FF53FACA31BF,M,2,3,3,2,4
37B8AD6E4D9B,M,1,2,2,3,3
55792E29E3A0,M,1,2,2,2,2
BB7C74DD634F,M,2,3,3,3,3
5E98AE1FEA8E,F,2,2,2,2,3
949F1FCAE7A6,M,2,2,2,2,3
9788FF5FBA3B,M,2,3,2,2,3
B1107C007404,F,5,4,5,3,4
2C4BB3ACA451,M,1,1,1,2,3
634848B2D08C,F,4,3,4,3,4
0771C85FC76B,M,5,5,5,4,4
803A47175851,F,4,3,5,4,4
360FD9AE286D,M,3,3,3,3,4
F4423D1F297D,F,2,3,2,3,3
5787997A234A,F,2,3,2,2,3
B27DD0B12E19,F,3,3,3,3,4
FD0934F5261D,M,2,2,2,3,3
9D99F8F1CAAB,F,2,2,2,2,3
A84FCF650361,F,2,2,2,2,3
D836FB30A868,F,3,3,3,2,4
3A961F5287CD,M,3,4,4,4,4
2E9B5CD4716D,M,2,3,2,2,3
1C51F32A0689,F,4,4,5,4,5
F3E8A109AE05,M,3,3,4,3,4
5FBF192B844B,F,2,2,2,2,3
95570A90AED0,F,3,3,3,3,4
CD89EA33A415,F,3,3,3,3,4
A68B13F7EB65,F,3,3,4,3,4
85BB61E8083B,M,2,1,1,2,4
CFC1F5729C6D,M,3,3,3,2,3
C275B257FC61,M,3,2,3,3,3
D692F0AACADA,F,2,2,2,3,3
445FC339B11B,M,3,2,2,2,3
F62004E3EBAC,F,2,3,2,3,4
E60EB5C35194,M,2,2,3,2,3
20D81D1BE1A6,F,5,4,5,4,5
A0DEA37279E9,F,2,2,2,2,3
6E381D4CCEDA,F,3,2,3,3,3
1B4BA44BD3E9,M,1,2,2,2,4
DF44B7B148CC,F,4,3,4,3,4
16DC754413F0,F,1,2,2,2,3
308AD9A4728D,F,2,2,2,2,4
BF86E37ABB2A,F,4,4,4,2,3
89EE36DCF117,M,1,1,1,2,4
D1BE0D3E0D4E,F,3,3,3,3,4
8AF1FB2ADE27,M,6,5,5,4,5
E8E139957D4D,M,1,2,2,2,4
B7570BF5EB0B,F,3,3,3,2,4
E55AEC795109,M,2,2,2,2,3
C0217B05422D,M,3,3,3,2,3
8E0FEEC3DF47,M,3,3,3,2,3
3CBB3DCDB8EE,F,3,2,2,2,4
40E7A7FDF48D,M,1,2,2,2,3
B3BC549D8BD0,F,3,3,4,4,4
8A2B79514820,M,3,3,3,3,4
3FA488B75FCB,F,2,2,2,3,4
573A550002C0,F,2,2,3,3,3
E494B619E3EF,F,4,4,4,3,4
6B3EC7DF8173,F,3,3,3,3,3
BB04B818FF32,F,2,2,2,3,4
D13AD797DE2D,F,3,3,3,3,4
32882A8AE673,F,3,3,3,2,4
98C855AF1F41,F,4,3,4,3,4
A13E656A0ED5,F,2,2,2,3,4
DAE40486EC15,M,2,2,2,2,3
99297BB401FC,F,5,5,5,4,5
32DCF7DED3F8,F,4,3,4,3,4
771A8A8F8892,M,6,4,5,4,5
72C8E2CDEA69,F,6,4,5,5,5
016A837B94F5,M,3,4,3,3,4
E465837431CB,M,4,4,5,4,4
DA5E92093978,F,3,3,3,3,4
EA2BAEFCE4F2,M,2,3,2,3,3
EC1D57A4E008,F,4,4,4,4,4
D7F4D3366332,M,6,4,5,4,4
5F66710B5017,M,1,2,2,2,4
C38708C405C6,M,3,3,3,2,3
F9FFECDE9A53,F,2,3,3,3,4
069AFB1CF407,M,3,3,2,2,3
0ACB0E08934E,M,3,2,3,3,3
9A2549F2EEC1,F,5,4,5,3,4
C3AD2ABD5D03,F,2,2,2,2,3
20E8EF3807D2,F,3,4,3,4,4
236F050055D6,M,3,3,4,3,4
5109921E29E0,M,2,3,3,2,2
121DCFFBC671,M,5,4,5,3,4
747B06CF4DA3,F,3,2,3,3,3
11F4FD622FD8,F,5,4,4,3,4
A8221073323E,F,3,3,3,3,3
AE11AA4423C1,M,3,3,3,3,4
10D7E30AD1AC,M,3,3,4,3,4
2450993EB016,F,1,2,1,2,2
5A860EDF839D,F,3,3,2,4,5
29DEA3E5DA18,M,4,3,3,3,4
20D57DEC3EF5,M,1,2,2,2,3
CCC749859F5C,M,6,5,5,4,5
E62E4E083245,M,3,3,4,3,3
09D40BD05847,M,2,2,2,2,2
E216387074D3,F,5,4,4,2,4
3AED5A7D58F8,M,3,3,3,2,3
F34AEA4F0678,M,4,4,4,3,4
B4FCF8DD1F69,M,3,3,3,3,3
3EF3E5B52108,F,3,4,3,2,3
42320FFF7304,F,3,4,4,4,5
C2E4971F69E9,F,4,4,4,4,4
CD53C96A70EB,F,2,3,2,2,3
84DDA9460E91,M,1,1,1,2,2
82ED6087717D,M,3,3,3,2,3
81F515606B77,M,4,4,4,4,4
FC27ECB471A4,M,2,2,2,2,3
4AF98AC12423,M,3,4,5,3,4
02D6A23E0CEB,M,2,2,3,3,4
57280EFE34F4,M,2,2,2,2,2
1DC7F82830D6,F,3,4,4,3,4
7BF2EA4A164C,M,5,5,5,4,4
28220DC55DA8,F,3,3,3,3,4
FE9AB60822CA,M,3,3,3,2,4
1F742C41EF9D,M,4,4,5,3,4
58B7F73691D2,M,3,3,3,4,4
73698CA22462,F,2,3,2,3,4
B3C454E2E3E0,F,3,3,3,3,4
F86F94DCEB33,M,2,2,2,2,3
23701C1FBDD2,M,2,1,2,2,3
0E8E64439570,F,3,3,3,3,3
678247627A95,F,3,3,3,3,3
1D549C77CB16,M,5,5,5,3,4
01B33F504006,F,3,3,4,2,3
1ADE56C19ACC,M,3,2,2,2,3
453782F3E15C,M,2,2,2,2,3
4AE962B7BDAA,F,3,3,3,2,3
BDDE34DAF883,F,4,4,4,3,4
4A2B8999223F,M,3,3,2,3,3
B9B5EC82396D,F,3,3,3,3,3
BE8615F85409,M,4,4,4,3,4
CE15197AE9CC,F,4,4,4,3,4
A803172BF35E,F,2,2,2,2,3
9F9C9D1E2F5C,M,5,4,4,3,4
4BB49667767A,M,3,4,2,3,3
20E320AA966E,F,4,4,4,4,5
0C44D7D7F0FD,F,3,2,3,3,4
8458F0287115,M,4,4,3,3,4
AB8D8AED4B28,F,3,3,3,3,4
2771AA5E572D,F,4,5,5,3,4
84F179DFCFC9,M,3,4,3,3,4
426E5A215942,F,4,4,5,4,5
887BBBE0CCC5,F,1,1,1,2,2
8AB79B5BD3DB,M,2,2,2,2,3
76BB36EE4398,F,5,4,5,4,5
B4F3E5D8D7D2,M,3,3,3,2,4
D19AB551E2B9,F,1,2,3,3,3
50903131CDBF,F,2,2,3,2,4
2A4FCD86BA0D,F,4,4,4,3,4
B980560F68EA,F,2,1,1,2,3
8DFB375E3159,F,3,3,3,2,4
26077CB12CB0,M,5,3,5,4,4
8C93D556C297,F,4,3,4,4,4
5DA51172F93D,F,4,4,4,4,5
FF89B80BC4D1,M,4,3,3,4,5
7B1E55213D00,M,4,4,4,4,5
59A4AD465412,F,3,3,4,3,3
440A223D41D5,F,3,3,3,2,3
5AF04068D0B9,F,3,2,3,2,3
51A07E3D2C09,F,2,3,3,3,4
043BB809B52A,M,4,4,4,3,4
53EAE8EA05E8,F,3,3,3,3,4
78053022305D,M,2,3,2,2,3
5E75A1B48D17,F,2,2,2,2,3
7915BE25917E,M,2,3,2,2,3
F0F0CD67E436,M,2,2,2,2,3
3936CD2D8CF3,F,2,2,2,3,3
E21ABDF1E3F2,F,4,4,4,4,4
8F0F9D00B973,M,5,5,5,3,4
35B8D5BA3032,M,1,2,1,2,4
66D1803B4CEF,M,3,2,3,2,3
7929B0DC839B,F,4,4,5,3,4
E4F9AEC51ECF,M,3,3,3,4,4
2F53346B4F60,M,4,3,3,3,5
8A533A6E8808,M,3,4,3,3,4
7654EDDCC0DA,F,3,3,3,3,4
17759DF663A3,F,3,3,3,4,5
0AB5C0C20670,M,1,1,1,2,3
E201F3FE28F7,F,4,3,4,3,4
