essay_id_comp,gender,y_true,y_pred_bert
7F220FD6CACF,M,2.0,2.4824219
B3FE48815543,F,6.0,4.6875
B6428F6EB5F3,F,3.0,3.3085938
5D4E78CE6D5F,F,4.0,3.2519531
EA48C80121AD,F,3.0,2.4238281
CD8AAEA704AE,M,2.0,1.9658203
8119D80E030F,M,3.0,3.0214844
73E31A7D5720,F,1.0,1.2714844
56CA92EE1B0A,M,3.0,3.0957031
6C09B4AA6A77,M,3.0,3.609375
49CC4EA5F3AF,F,4.0,3.2773438
4A8383F42E69,F,2.0,2.2695312
3B59052B8DAF,M,2.0,2.6660156
3442D7D6F267,M,4.0,3.5253906
A7FE0387BF32,M,2.0,1.8505859
0F6BC58DCBE0,M,2.0,2.1933594
2FC787262DE4,F,2.0,2.2480469
068076E24085,F,3.0,2.7480469
B640319E66B2,M,1.0,1.578125
F983201E8CB1,F,2.0,2.3671875
4E236FFFBC3A,F,3.0,3.1289062
E2A67895BF3F,F,2.0,2.1464844
E7062A9A85AD,M,2.0,2.1757812
396A37B6D921,F,1.0,1.3164062
E1396D3FA930,F,3.0,2.7773438
12F6CA9D6104,F,3.0,2.8789062
7E37567419F5,M,2.0,2.0019531
9F3B64C57D04,M,2.0,2.1835938
E10D5E79B0A0,F,4.0,3.6582031
2F5D866B2C48,F,4.0,4.3398438
9F9F729FA854,F,3.0,3.0878906
1613BD216385,F,2.0,2.1210938
1807B25C64DB,F,4.0,3.7949219
2A906C1535A0,M,3.0,3.5488281
6A0FADF28A04,F,2.0,2.7265625
42CD122E8324,F,3.0,3.2597656
3ADC8338A9B8,F,5.0,4.8398438
923FDA1457EE,M,4.0,3.4140625
ABB4C6E07E71,M,5.0,4.3671875
1A6AB3B03A92,M,2.0,1.6630859
56A21776B470,M,3.0,2.8574219
E151FC867457,M,2.0,1.8886719
69C14FD07D1E,F,2.0,2.3691406
6D56A7D16F96,F,2.0,2.7832031
416154D38103,F,6.0,5.2578125
0C24337CD49E,F,1.0,1.4697266
