essay_id_comp,gender,holistic_essay_score,y_pred_tfidf,y_pred_bert,y_pred_chatgpt_zeroshot,y_pred_chatgpt_fewshot
596F3C00BE55,F,3,,,,
951A053453C0,F,3,,,,
C9987E52A40C,F,2,,,,
DE03BAA4291D,F,4,,,,
C44A702C460F,F,3,,,,
4FFA8AA9820C,M,1,,,,
414CCD1AC794,M,5,,,,
925C7FFD12C9,M,3,,,,
B193591E3477,M,2,,,,
0ABF4F99E166,M,5,4.369330770749842,5.1054688,4.0,
13135DA2A1AD,M,4,,,,
8BA8BA5260AD,F,2,,,,
8D6EE82E31D0,F,2,,,,
ED8CFCDD8202,M,3,,,,
F8DB3025B057,F,2,,,,
59F068C71B96,M,2,,,,
A56E412B7295,M,3,3.311580858046396,3.2421875,2.0,
71BF2F475B65,F,2,,,,
C71DC2FEAD0C,M,2,,,,
D1BB1EA6F163,M,1,,,,
72B282C9140D,M,3,,,,
6280CD375AE2,F,4,,,,
2AD8252C829F,F,5,4.012329529201594,3.9570312,3.0,
9421C2BAB52A,F,3,,,,
1.87E+11,F,3,,,,
E216387074D3,F,5,3.566448012054348,4.4804688,2.0,
77E7C5CFF241,M,3,,,,
1A9893654A41,F,2,,,,
5C63C1EE83BC,M,4,3.581161117701816,2.8339844,3.0,
0C3514461B72,M,2,,,,
86A74374E724,M,3,,,,
5AF04068D0B9,F,3,2.030133275887681,2.6191406,2.0,
4FC744EC5BDB,M,2,2.41913300881538,2.125,2.0,
B4143F38D439,M,3,2.6338184424274127,2.9609375,3.0,
3A961F5287CD,M,3,4.231036494601277,3.640625,4.0,
8A16475F358C,F,3,,,,
71B02282E096,F,4,,,,
D836FB30A868,F,3,2.802995894099985,2.9921875,2.0,
D2D0B722D015,F,3,,,,
323301DC459C,F,5,,,,
32DCF7DED3F8,F,4,3.432091842558284,3.6855469,3.0,
D62FE0481D99,M,2,,,,
F19978B8C2A7,M,3,,,,
A603DB484D6B,F,2,,,,
F9F27CA527E7,F,3,,,,
4EA724F147D4,F,2,,,,
1A90CE0AFBFC,M,4,,,,
137D6A21D7F1,F,2,,,,
97BBD96952A9,F,1,,,,
CD89EA33A415,F,3,2.6666053065009385,2.6757812,3.0,
5448F119688D,M,2,,,,
57596DF3AD20,M,5,,,,
AB8D8AED4B28,F,3,3.382191497300848,3.3691406,3.0,
A997421CCAF8,M,3,,,,
D1BE0D3E0D4E,F,3,3.269857242631633,3.2050781,3.0,
D788423BE274,F,2,,,,
A1F48D16C67B,F,1,,,,
2C3D6DFE6768,M,3,2.141299138493224,2.71875,3.0,
22916F4BFF97,M,2,,,,
652AE046E988,F,3,,,,
8614BB3690FA,F,4,,,,
04147BBED91A,F,3,,,,
23701C1FBDD2,M,2,1.2474952867593796,2.1582031,2.0,
8DFC6529608B,F,3,3.3368032858900367,3.7519531,4.0,
98B95C21BEF8,F,5,,,,
45C0A94A1668,F,1,,,,
3CFF1ACE63FF,M,2,,,,
67CA27FD7B1F,F,3,,,,
E4E9CB27B89F,M,3,,,,
E1AEAF1C9CBB,F,4,3.7410881175561,4.5390625,3.0,
F3CFE66F8908,M,3,,,,
2CD086E87F2D,F,3,3.736410116929723,3.4121094,3.0,
13154AD7E3C6,F,3,2.628759502422008,2.78125,2.0,
B9D9B02EFC86,F,3,,,,
0205C64A8302,F,6,,,,
2B3B8C1C3B6C,M,5,,,,
13E5109D10F2,M,5,4.237701821623727,4.8632812,3.0,
ADA15EC1BA7B,M,2,,,,
86195F4F73D6,M,4,,,,
D4BC5A89A5CD,M,3,,,,
724CFBF0B317,M,3,,,,
FC5C7E89577A,M,1,,,,
81E072350B09,F,4,,,,
E9A6FF04477D,F,4,,,,
0DB48DDD9022,F,2,,,,
5C5D2AC26FF4,M,4,,,,
A950C6EE7BD3,M,3,3.0875746313483976,3.3925781,3.0,
8202209A4062,F,3,,,,
5F5136D5007E,M,3,,,,
CC6D67F4D925,M,4,,,,
14FE56852B95,M,2,,,,
FCF3609BF4E8,F,2,,,,
BEE4BD548167,F,1,,,,
F389D1B47E5B,M,3,,,,
72EFD2C9BABA,F,3,,,,
FF7164909305,M,2,,,,
63E0FB4AB21E,F,2,,,,
A8FF0F418A68,M,4,,,,
73698CA22462,F,2,2.769212416541805,2.4355469,3.0,
88776F4CE3D1,F,5,,,,
7F1E6FE5D698,F,4,,,,
E151FC867457,M,2,2.45835883553749,1.8886719,2.0,
DF44B7B148CC,F,4,3.343058744037435,4.4492188,3.0,
22C6EB9A2FB6,M,3,,,,
20FE9FABD1C2,F,3,,,,
72507ADE3130,M,2,,,,
F0095A6449E9,F,2,,,,
42EDEB88B813,F,1,,,,
EC7C81E59E9E,M,4,,,,
069AFB1CF407,M,3,2.5463501127329766,2.3867188,2.0,
56A21776B470,M,3,2.7930618117376214,2.8574219,2.0,
C21E1457C1D4,M,2,,,,
0C24337CD49E,F,1,1.410530850612646,1.4697266,2.0,
D67D59D24822,M,1,,,,
3358EADE739F,M,3,,,,
AFD2F21F9158,M,1,,,,
9638A0515968,M,3,3.099945078291304,3.4785156,3.0,
03E817AF9D7B,F,4,,,,
315B09492FB4,M,2,2.1417496797107645,1.8701172,2.0,
ECC6E0727926,F,4,,,,
00BD97EA4041,M,2,,,,
E9415526F0C1,M,2,,,,
71D172196A84,M,3,,,,
232662471F21,F,4,,,,
235D30ADCCD1,F,2,,,,
D13AD797DE2D,F,3,2.9810079683454447,3.0351562,3.0,
39E328A45EB6,F,4,,,,
E5F4C8EB99A4,M,1,,,,
FBB861DBF984,M,3,,,,
1B0F3EE32F6A,F,2,,,,
114608C6747D,M,4,,,,
1CB94A9B77DC,M,3,,,,
EF622114BF8A,M,4,,,,
9E329AE0D772,F,2,,,,
A32414F5B216,F,1,,,,
DEBD20B519DF,M,2,,,,
C17BFEC19D9C,M,2,,,,
784ADFA51958,M,2,,,,
A144AE0F00CA,F,2,,,,
401268F9E518,F,5,,,,
E84FE06A6A50,M,4,,,,
34CD62D72CC1,M,3,3.0685774790740235,3.5039062,3.0,
6C3654E9F5BE,M,2,,,,
F324DBEBCAFA,M,3,3.45652748251543,2.9160156,2.0,
1807B25C64DB,F,4,4.067743165779589,3.7949219,4.0,
DBF920BA5EFB,M,4,,,,
2408A9D495EB,F,3,,,,
C1C606DD32BF,F,3,,,,
0FF1AF8C5244,F,5,,,,
00D719F00D9F,F,3,,,,
590057B2F1E7,F,4,,,,
7B1E55213D00,M,4,3.9151912133307154,3.8613281,4.0,
02FE364F8B8C,F,3,,,,
9DD9806F1035,F,4,,,,
49D71438EA8F,M,2,,,,
9222974EDC10,M,3,,,,
0F7D49900D1C,M,2,,,,
7EE7318E1EF2,M,4,,,,
5B1286DD196F,M,2,,,,
99DE2E3E96E7,F,4,3.3107775851344146,3.6464844,3.0,
A8F25C2FBD28,M,2,,,,
E9398CEB378F,M,2,,,,
C63384FA8876,M,5,,,,
12A61F91FC80,F,3,,,,
5CF086059CCB,F,3,,,,
807F6563D0F3,F,3,,,,
0DB691AE609C,M,3,,,,
E978E759F26B,F,3,,,,
64EED50CD664,M,6,,,,
150BD0070ED0,F,2,,,,
2771AA5E572D,F,4,4.527639166413975,5.0429688,3.0,
AA0660FA9196,F,2,,,,
902212F4DDCF,F,3,,,,
124F95E287B6,M,3,,,,
4BB49667767A,M,3,3.589200466311392,2.296875,3.0,
1D549C77CB16,M,5,4.761652787087446,5.15625,3.0,
56EF17979B38,M,2,,,,
A6DC0CDD409F,F,5,,,,
55981C1C60B2,M,5,,,,
E313B4A45475,M,2,,,,
89085CAAC57D,M,2,,,,
623F199799BB,M,3,,,,
FBCE3E3DEB51,M,3,,,,
1C2F6CE45E18,M,4,4.017103203788656,3.4648438,3.0,
109FC36735A0,F,2,,,,
4AE962B7BDAA,F,3,2.865766642920315,2.609375,2.0,
7DE71BA080D3,F,3,,,,
1D6D338A6BA2,M,2,,,,
4E35C2446E9C,F,4,,,,
12DB0A4C8044,M,2,,,,
B6EEC01CA171,M,2,,,,
